OrderID,CustomerID,CustomerName,Gender,Age,City,Category,ProductName,Quantity,UnitPrice,ShippingCost,TotalAmount,ShippingMethod,Platform,OrderDate,DeliveryDate,DeliveryDays,OrderStatus,Rating,ReturnStatus
40000,CUST1537,Customer_233,Female,23,Surat,Automotive,Product_57,4,₹49276.71,462.82,₹197569.66,Standard,Mobile Web,45444,13-01-2024,7,Delivered,5,
40001,CUST0930,Customer_889,Male,29,Surat,Books,Product_94,1,₹76878.35,328.11,₹77206.46,Same Day,Website,45020,45026,6,Pending,2,Not Returned
40002,CUST1265,Customer_71,,54,Surat,Grocery,Product_179,10,₹2679.29,358.03,27150.93,Standard,,45566,TBD,11,Pending,3,Not Returned
40003,CUST2522,Customer_710,Male,68,Surat,Sports,,1,,191.2,₹43056.50,Express,Website,44998,45009,11,Delivered,3,Not Returned
40005,CUST0268,Customer_229,Female,39,,Sports,Product_50,2,₹8351.18,483.46,₹17185.82,Same Day,Mobile Web,15/06/2023,,13,,5,Not Returned
40006,CUST0071,Customer_296,Female,53,Hyderabad,Books,,9,₹33598.17,279.27,₹302662.80,Same Day,,45440,45446,6,Pending,2,Not Returned
40007,CUST2351,Customer_157,Male,59,Jaipur,Electronics,Product_116,,₹79621.16,387.83,₹239251.31,Express,Website,20/02/2024,45347,5,Delivered,,Not Returned
40008,CUST1466,Customer_6,Male,29,Bangalore,Electronics,Product_150,6,₹8606.81,178.66,51819.52,Express,Website,14/12/2022,44920,11,,5,Not Returned
40009,CUST0738,Customer_985,,,Pune,Beauty,Product_138,-3,₹33967.34,,₹102282.68,Standard,App,15/04/2023,45040,9,Returned,2,Not Returned
40010,CUST2187,Customer_182,Male,63,Bangalore,Electronics,Product_37,8,₹54966.88,156.18,₹439891.22,Standard,Mobile Web,14/05/2022,44709,14,Returned,4,Not Returned
40011,CUST1620,Customer_827,Female,44,Hyderabad, Clothing ,Product_129,1,₹38695.18,178.25,38873.43,Same Day,App,45577,22/12/2024,12,Delivered,2,
40012,CUST1922,Customer_376,Male,28,Surat,Grocery,,5,₹72064.46,187.81,₹360510.11,Express,App,25-01-2023,TBD,1,Pending,,Not Returned
40013,CUST0228,Customer_962,Female,31,,Books,Product_132,7,₹4865.99,100.46,₹34162.39,Express,Mobile Web,45245,28-11-2023,13,Processing,2,Not Returned
40014,CUST2227,Customer_877,Male,49,Pune,Beauty,Product_168,1,₹8536.39,333.29,₹8869.68,Express,Website,44760,73050,9,Returned,1,Not Returned
40015,CUST0588,Customer_727,Female,,Bangalore,Health,Product_104,9,₹73692.97,316.24,₹663552.97,Express,Mobile Web,45085,45146,2,Returned,2,
40016,CUST2057,Customer_741,Male,50,Kolkata,Beauty,Product_15,3,₹20276.41,416.62,61245.85,Overnight,App,24-11-2024,30/11/2024,6,Pending,2,Returned
40017,CUST0396,Customer_432,Female,22,Mumbai,Electronics,Product_18,4,32978.8,-398.11,₹132313.31,Same Day,Website,15/10/2023,30-10-2023,15,Delivered,1,Returned
40018,CUST2430,Customer_720,Female,55,Hyderabad,Automotive,,4,₹62896.88,335.17,₹251922.69,,Mobile Web,44929,44936,7,Delivered,,
40019,CUST2825,Customer_127,Female,54,Mumbai,,Product_126,10,₹38141.68,226.65,,Express,,45395,21-04-2024,8,Pending,1,Returned
40020,CUST1242,Customer_685,Male,63,Bangalore,,Product_52,4,72535.3,250.66,₹290391.86,Same Day,Website,44590,44714,8,Pending,148,Not Returned
40021,CUST0312,,Male,51,Surat,Grocery,Product_165,4,31353.39,463.72,,Standard,Mobile Web,44659,73050,7,Returned,4,Not Returned
40022,CUST0984,Customer_696,Male,2175,Hyderabad,Books,Product_73,7,₹71660.13,414.98,₹502035.89,Overnight,Website,45601,45432,9, Cancelled ,4,Not Returned
