order_id,customer_id,product_category,product_name,quantity,unit_price,discount_pct,revenue,payment_method,order_date,delivery_date,return_status,city,state,pincode
ORD00001,CUST95919,Home & Kitchen,Wipro LED Bulb 9W,3,6172,10,16664.4,Wallet,2023-01-01,2023-01-14,,Mumbai,Maharashtra,324667
ORD00002,CUST19572,Furniture,Kurlon Mattress Queen,5,72811,30,254838.5,PhonePe,2023-01-01,15-01-2023,Not Returned,Kolkata,West Bengal,440299
ORD00003,CUST80478,Electronics,Sony 65 inch 4K TV,2,137888,0,275776,CREDIT CARD,2023-01-01,2023-03-01,Not Returned,Chennai,Tamil Nadu,198756
ORD00004,CUST77891,Toys,Play-Doh Creativity Set,3,4214,25,9481.5,COD,2023-01-01,2023-01-10,Not Returned,Bangalore,Karnataka,750714
ORD00005,CUST22130,Electronics,Samsung Galaxy S23,5,97019,25,363821.25,Debit Card,2023-01-01,2023-01-07,Not Returned,Bombay,Maharashtra,799080
ORD00006,CUST72990,Home & Kitchen,Cello Water Bottle 1L,2,7902,10,14223.6,COD,2023-01-01,2023-07-01,,kolkata,West Bengal,233240
ORD00007,CUST52631,Books,Rich Dad Poor Dad,2,380,30,532,Paytm,2023-01-01,2023-05-01,,Mumbai,Maharashtra,183158
ORD00008,CUST94699,Home & Kitchen,Philips Air Fryer HD9200,4,21740,30,60872,CREDIT CARD,2023-01-01,2023-01-12,Not Returned,lucknow,Uttar Pradesh,553120
ORD00009,CUST32301,Mobiles,iQOO Neo 7,2,76273,15,129664.1,Debit Card,2023-01-02,2023-01-15,Not Returned,pune,Maharashtra,454704
ORD00010,CUST61690,Books,Think and Grow Rich,3,1160,25,2610,Debit Card,2023-02-01,2023-05-01,Not Returned,Jaipur,Rajasthan,324858
ORD00011,CUST18830,Electronics,Sony 65 inch 4K TV,3,89242,15,227567.1,COD,2023-02-01,2023-04-01,Not Returned,Bangalore,Karnataka,429262
ORD00012,CUST29069,Grocery,Nestle Maggi 12 Pack,5,817,5,3880.75,Net Banking,2023-01-02,2023-01-12,Not Returned,Bangalore,Karnataka,445799
ORD00013,CUST14075,Electronics,Sony 65 inch 4K TV,5,55100,20,220400,CREDIT CARD,2023-01-02,2023-01-08,Not Returned,jaipur,Rajasthan,690636
ORD00014,CUST96722,Electronics,JBL Flip 6 Speaker,2,130170,30,182238,UPI,2023-02-01,13-01-2023,Not Returned,kolkata,West Bengal,
ORD00015,CUST90069,Books,Ikigai,1,193,30,135.1,upi,2023-01-02,15/01/2023,Not Returned,New Delhi,Delhi,129123
ORD00016,CUST93294,Mobiles,OPPO Reno 8,4,15824,,56966.4,Paytm,2023-01-03,2023-01-08,Not Returned,Bombay,Maharashtra,465545
ORD00017,CUST99095,Electronics,boAt Rockerz 450 Headphones,1,17809,30,12466.3,Wallet,2023-01-03,2023-01-11,Not Returned,jaipur,Rajasthan,779156
ORD00018,CUST93646,Furniture,Godrej Interio Study Table,2,56102,15,95373.4,upi,2023-03-01,17-01-2023,Not Returned,DELHI,Delhi,608203
ORD00019,CUST90988,Sports,Prokyde Skipping Rope,2,13423,30,18792.2,UPI,2023-03-01,2023-08-01,Not Returned,KOLKATA,West Bengal,761362
ORD00020,CUST51616,Beauty,Dove Soap 100g,1,2515,5,2389.25,CREDIT CARD,2023-01-03,2023-01-15,Not Returned,kolkata,West Bengal,787172
ORD00021,CUST24351,Beauty,WOW Skin Science Shampoo,4,1742,5,6619.6,Debit Card,2023-01-03,2023-01-06,Not Returned,delhi,Delhi,626514
ORD00022,CUST73477,Electronics,OnePlus Nord CE 3,1,95321,10,85788.9,CREDIT CARD,2023-01-03,13-01-2023,Not Returned,jaipur,Rajasthan,384732
ORD00023,CUST34176,Furniture,Wakefit Orthopaedic Mattress,5,5940,30,20790,GPay,2023-04-01,13/01/2023,Returned,Bangalore,Karnataka,673076
ORD00024,CUST17980,Grocery,Nestle Maggi 12 Pack,3,1124,25,2529,CREDIT CARD,2023-01-04,2023-01-17,,Mumbai,Maharashtra,781074
ORD00025,CUST48083,Toys,Nerf Elite Blaster,5,4027,5,19128.25,Paytm,2023-01-04,2023-01-09,Not Returned,delhi,Delhi,118976
ORD00026,CUST49375,Toys,Fisher Price Baby Gym,3,4485,0,13455,COD,2023-04-01,13-01-2023,Returned,ahmedabad,Gujarat,605292
ORD00027,CUST94882,Books,Think and Grow Rich,2,1487,25,2230.5,upi,2023-04-01,17/01/2023,,kolkata,West Bengal,641247
ORD00028,CUST80449,Beauty,Lakme Absolute Foundation,4,2577,20,8246.4,UPI,2023-01-04,2023-01-18,Not Returned,Delhi,Delhi,628254
ORD00029,CUST72668,Electronics,Sony 65 inch 4K TV,1,22718,10,20446.2,Net Banking,2023-01-04,2023-01-14,Not Returned,Bangalore,Karnataka,201979
ORD00030,CUST62027,Toys,Play-Doh Creativity Set,4,1192,10,4291.2,CREDIT CARD,2023-04-01,2023-07-01,Not Returned,lucknow,Uttar Pradesh,116648
ORD00031,CUST59731,Electronics,OnePlus Nord CE 3,1,92618,10,83356.2,GPay,2023-05-01,2023-10-01,Not Returned,KOLKATA,West Bengal,189032
ORD00032,CUST58254,Books,Sapiens - Yuval Noah,5,1740,5,8265,CREDIT CARD,2023-01-05,2023-01-17,Not Returned,Bangalore,Karnataka,495243
ORD00033,CUST79108,Beauty,L'Oreal Elvive Shampoo,5,664,5,3154,upi,2023-01-05,2023-01-12,Not Returned,Lucknow,Uttar Pradesh,386121
ORD00034,CUST36065,Home & Kitchen,Pigeon Non-Stick Tawa,1,6822,10,6139.8,GPay,2023-05-01,13-01-2023,Not Returned,CHENNAI,Tamil Nadu,781040
ORD00035,CUST29279,Sports,Decathlon Yoga Mat,4,1060,10,3816,Debit Card,2023-05-01,2023-11-01,Not Returned,Ahmedabad,Gujarat,
ORD00036,CUST86273,Sports,Yonex Badminton Racket,1,3942,0,3942,CREDIT CARD,2023-01-05,2023-01-16,Returned,Ahmedabad,Gujarat,318142
ORD00037,CUST74959,Toys,Play-Doh Creativity Set,2,4968,15,8445.6,CREDIT CARD,2023-01-05,2023-01-18,Not Returned,Bangalore,Karnataka,406656
ORD00038,CUST67851,Sports,Boldfit Resistance Bands,5,1162,25,4357.5,Debit Card,2023-06-01,17-01-2023,Not Returned,ahmedabad,Gujarat,310591
ORD00039,CUST32167,Home & Kitchen,Cello Water Bottle 1L,2,4826,,7239,upi,2023-06-01,20/01/2023,,ahmedabad,Gujarat,490642
ORD00040,CUST68651,Electronics,HP Pavilion Laptop 15,5,113563,0,567815,CREDIT CARD,2023-01-06,2023-01-14,Not Returned,chennai,Tamil Nadu,271485
ORD00041,CUST16294,Books,The Psychology of Money,5,1314,10,5913,Paytm,2023-01-06,2023-01-18,Not Returned,Chennai,Tamil Nadu,668737
ORD00042,CUST53582,Home & Kitchen,Milton Thermosteel Flask,3,11830,30,24843,UPI,2023-06-01,2023-11-01,Not Returned,Chennai,Tamil Nadu,
ORD00043,CUST45710,Books,Sapiens - Yuval Noah,2,766,5,1455.4,GPay,2023-01-06,15/01/2023,Not Returned,pune,Maharashtra,671076
ORD00044,CUST22983,Books,Wings of Fire - APJ Kalam,2,389,5,739.1,GPay,2023-01-06,2023-01-10,Not Returned,Bangalore,Karnataka,443450
ORD00045,CUST81892,Beauty,Lakme Absolute Foundation,3,644,10,1738.8,COD,2023-01-07,2023-01-21,Not Returned,Jaipur,Rajasthan,414623
ORD00046,CUST59145,Electronics,JBL Flip 6 Speaker,4,122202,15,415486.8,UPI,2023-07-01,2023-11-01,Not Returned,Kolkata,West Bengal,563137
ORD00047,CUST33112,Furniture,Pepperfry Coffee Table,2,12319,20,19710.4,Net Banking,2023-07-01,13/01/2023,Not Returned,Lucknow,Uttar Pradesh,693048
ORD00048,CUST24245,Sports,Prokyde Skipping Rope,1,10483,20,8386.4,GPay,2023-01-07,2023-01-14,,DELHI,Delhi,360370
ORD00049,CUST49099,Furniture,Kurlon Mattress Queen,3,61613,,184839,Debit Card,2023-01-07,2023-01-11,Not Returned,Mumbai,Maharashtra,595114
ORD00050,CUST46411,Beauty,Biotique Bio Cleanser,2,2430,,3645,COD,2023-01-07,18-01-2023,Not Returned,pune,Maharashtra,
ORD00051,CUST56042,Books,The Psychology of Money,4,1251,15,4253.4,CREDIT CARD,2023-07-01,2023-10-01,Not Returned,Mumbai,Maharashtra,770677
ORD00052,CUST84111,Toys,LEGO Classic Brick Box,2,4036,20,6457.6,Paytm,2023-01-07,2023-01-13,Not Returned,kolkata,West Bengal,656147
ORD00053,CUST55080,Sports,Boldfit Resistance Bands,5,9030,15,38377.5,Debit Card,2023-01-08,2023-01-19,Not Returned,Bangalore,Karnataka,217627
ORD00054,CUST58664,Sports,Decathlon Yoga Mat,1,13324,5,12657.8,CREDIT CARD,2023-08-01,15-01-2023,,Mumbai,Maharashtra,166528
ORD00055,CUST76873,Electronics,boAt Rockerz 450 Headphones,3,22563,5,64304.55,Wallet,2023-08-01,2023-12-01,Returned,Pune,Maharashtra,280916
ORD00056,CUST69429,Mobiles,Realme GT Neo 5,5,117696,30,411936,Wallet,2023-01-08,2023-01-16,Not Returned,New Delhi,Delhi,548032
ORD00057,CUST30781,Fashion,FabIndia Cotton Saree,4,7161,15,24347.4,UPI,2023-01-08,2023-01-12,Returned,Lucknow,Uttar Pradesh,408665
ORD00058,CUST52352,Fashion,Levi's 511 Slim Jeans,5,12916,10,58122,Paytm,2023-08-01,21-01-2023,Not Returned,ahmedabad,Gujarat,355443
ORD00059,CUST12147,Fashion,Van Heusen Polo T-Shirt,5,1010,,4040,Net Banking,2023-08-01,22/01/2023,Not Returned,hyderabad,Telangana,424780
ORD00060,CUST76947,Mobiles,Samsung Galaxy A54,4,51937,20,166198.4,upi,2023-01-09,2023-01-12,Not Returned,Pune,Maharashtra,
ORD00061,CUST98509,Electronics,Sony 65 inch 4K TV,5,20957,5,99545.75,UPI,2023-01-09,2023-01-23,NOT RETURNED,lucknow,Uttar Pradesh,600397
ORD00062,CUST52775,Mobiles,iQOO Neo 7,3,67643,,142050.3,UPI,2023-09-01,20-01-2023,,Bangalore,Karnataka,200817
ORD00063,CUST41189,Fashion,Allen Solly Formal Shirt,2,13019,30,18226.6,UPI,2023-09-01,14/01/2023,Not Returned,lucknow,Uttar Pradesh,545542
ORD00064,CUST46918,Beauty,WOW Skin Science Shampoo,5,244,25,915,upi,2023-01-09,2023-01-13,Not Returned,kolkata,West Bengal,190160
ORD00065,CUST40616,Home & Kitchen,Wipro LED Bulb 9W,3,8880,0,26640,PhonePe,2023-01-09,2023-01-17,Not Returned,delhi,Delhi,674916
ORD00066,CUST16898,Books,Think and Grow Rich,2,1470,20,2352,UPI,2023-09-01,18-01-2023,Returned,Kolkata,West Bengal,780623
